0,50,100,150,200,250,300,350,400,450,500,550,600,650,700,750,800,850,900,950
0,0,0,0,0,0,0,0,0,0,0,50,208,480,589,621,379,87,7,0
0,0,0,0,0,0,0,0,0,0,0,35,76,92,86,63,8,0,0,0
0,0,0,0,0,0,0,0,0,0,0,22,126,232,411,552,491,201,55,4
0,0,0,0,0,0,0,0,0,0,0,33,183,406,723,842,1021,788,309,45
0,0,0,0,0,0,0,0,0,0,0,25,72,105,88,12,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,18,98,318,551,886,1169,1238,1059,747
0,0,0,0,0,0,0,0,0,0,0,12,22,160,326,644,988,1098,1029,930
0,0,0,0,0,0,0,0,0,0,0,15,208,717,1528,1972,2734,3510,4006,4062
0,0,0,0,0,0,0,0,0,0,0,8,112,266,638,873,1015,1060,1244,1148
0,0,0,0,0,0,0,0,0,0,0,5,95,143,177,151,59,10,0,0
0,0,0,0,0,0,0,0,0,0,0,4,365,1625,3627,6584,10019,13222,15927,19077
0,0,0,0,0,0,0,0,0,0,0,4,65,103,219,302,309,322,167,49
0,0,0,0,0,0,0,0,0,0,0,3,59,223,453,507,330,104,31,0
0,0,0,0,0,0,0,0,0,0,0,2,35,52,64,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,36,232,663,1341,2664,3684,4153,3910
0,0,0,0,0,0,0,0,0,0,0,0,122,358,685,816,800,923,1013,930
0,0,0,0,0,0,0,0,0,0,0,0,7,64,58,12,7,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,26,129,429,761,1119,1250,1173,623
0,0,0,0,0,0,0,0,0,0,0,0,8,27,61,83,28,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,26,112,164,205,199,98,25,0
0,0,0,0,0,0,0,0,0,0,0,0,35,40,94,23,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,11,62,72,56,8,14,0,0
0,0,0,0,0,0,0,0,0,0,0,0,24,61,80,64,46,26,11,0
0,0,0,0,0,0,0,0,0,0,0,0,30,183,383,680,799,749,552,157
0,0,0,0,0,0,0,0,0,0,0,0,12,21,60,157,157,146,84,44
0,0,0,0,0,0,0,0,0,0,0,0,15,85,228,275,223,162,44,21
0,0,0,0,0,0,0,0,0,0,0,0,9,78,354,683,905,745,570,282
0,0,0,0,0,0,0,0,0,0,0,0,2,115,365,1060,1959,2723,2836,2539
0,0,0,0,0,0,0,0,0,0,0,0,5,63,287,655,1215,1684,1921,2047
0,0,0,0,0,0,0,0,0,0,0,0,19,62,89,93,240,208,112,31
0,0,0,0,0,0,0,0,0,0,0,0,8,30,25,89,244,409,662,652
0,0,0,0,0,0,0,0,0,0,0,0,2,60,77,34,15,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,16,37,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,2,50,159,380,744,1146,1165,977
0,0,0,0,0,0,0,0,0,0,0,0,3,73,148,254,559,708,894,806
0,0,0,0,0,0,0,0,0,0,0,0,4,314,1283,2841,5383,8579,12115,15501
0,0,0,0,0,0,0,0,0,0,0,0,1,64,256,485,451,319,105,0
0,0,0,0,0,0,0,0,0,0,0,0,0,22,71,80,89,7,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,35,256,444,475,327,211,110
0,0,0,0,0,0,0,0,0,0,0,0,0,21,215,344,251,93,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,28,30,46,17,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,7,33,32,31,8,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0,19,36,20,17,23,26,0
0,0,0,0,0,0,0,0,0,0,0,0,0,21,68,120,132,95,11,0
0,0,0,0,0,0,0,0,0,0,0,0,0,8,38,75,39,8,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,7,40,126,242,106,57,0
0,0,0,0,0,0,0,0,0,0,0,0,0,12,53,152,343,372,422,258
0,0,0,0,0,0,0,0,0,0,0,0,0,12,124,192,218,158,89,66
0,0,0,0,0,0,0,0,0,0,0,0,0,7,64,216,471,622,809,541
0,0,0,0,0,0,0,0,0,0,0,0,0,16,92,271,729,1164,1460,1690
0,0,0,0,0,0,0,0,0,0,0,0,0,5,26,147,389,667,846,778
0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,66,96,166,155,185
0,0,0,0,0,0,0,0,0,0,0,0,0,6,56,15,0,0,0,0
