Drivers,Passengers,Color,CloneID,ParentID,0,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,3600,3700,3800,3900,4000,4100,4200,4300,4400,4500,4600,4700,4800,4900,5000
3,0,#4f9f39,558,436,0,0,0,0,0,0,0,0,0,0,0,0,17,34,51,78,126,149,212,186,138,166,121,145,112,104,86,19,16,2,5,6,7,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,#4f9f39,570,449,0,0,0,0,0,0,0,0,0,0,0,0,3,9,12,63,69,102,124,98,52,48,45,70,56,32,19,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,#4f9f39,577,436,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,42,59,56,34,39,42,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,#4f9f39,585,449,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,25,30,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,#4f9f39,586,449,0,0,0,0,0,0,0,0,0,0,0,0,0,4,31,39,34,37,69,68,73,36,53,42,35,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,#4f9f39,588,449,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,58,66,75,81,85,39,29,20,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,#4f9f39,589,419,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,3,11,22,23,46,19,18,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,#4f9f39,611,419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,18,31,49,87,75,23,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,#4f9f39,612,436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,37,40,35,71,72,20,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,#bdbe3a,617,493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,50,21,16,13,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,#bdbe3a,620,585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,24,17,38,55,67,78,75,100,115,62,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
